no,部屋,本文,題を付ける,題,register,季節,時刻帯,created_at,天気,色相,トーン,エリア,trace,traceパターン,trace補足,備考
177,心,曇った夕方、心だけ少し先に春になっている。,,,観察,春,夕,2026-03-05 18:16,曇,290,92,,あり,1,一気に書いて終わり（迷いなし）,
178,生活,朝つばめが軒に帰りきて去年の泥の巣を直しおり,,,三十一文字,春,朝,2026-03-06 6:14,晴,275,55,,あり,2,途中で3〜8秒止まる（にじみ）,
179,友達,花見の夜、あいつだけ真面目にサクラを見てた。,,,観察,春,夜,2026-03-10 3:36,晴,180,55,,あり,2,途中で3〜8秒止まる（にじみ）,
180,お金,新生活で出費がえぐい、貯金ゼロ、,,,雑な一行,春,夜,2026-03-10 4:09,曇,127,92,,あり,3,書いて全部消して、もう一度,
181,人生,新年度の朝、まだ何者でもない自分,,,断片,春,朝,2026-03-10 10:28,雨,177,55,,なし,,,
182,仕事,異動、内示、頭真っ白,,,雑な一行,春,昼,2026-03-12 11:44,雨,165,15,,あり,5,誤変換を1回直す,
183,恋愛,はなびらが君の肩にも降りていて払っていいか迷う一瞬,,,三十一文字,春,夜,2026-03-13 3:36,晴,22,75,,なし,,,
184,いじめ,教室の空気って、たまに息できなくなる、,,,雑な一行,春,昼,2026-03-14 13:12,曇,47,55,,あり,1,一気に書いて終わり（迷いなし）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
185,恋愛,この服、あの子っぽいな。,,,誰かへ,春,朝,2026-03-15 7:50,曇,40,35,,なし,,,
186,生活,春の雨って、始まりの匂いがしない？,,,問い,春,昼,2026-03-17 15:15,雨,335,35,,あり,3,書いて全部消して、もう一度,
187,学校,春の曇った夕方、進級して教室が変わった。誰の匂いもしない部屋。,,,ちゃんとした一文,春,夕,2026-03-18 17:34,曇,15,55,,あり,6,最後の一語だけ書き換えて放つ,
188,世界,夜の雨は音がやわらかい、,,,雑な一行,春,夜,2026-03-19 3:54,雨,55,75,,あり,3,書いて全部消して、もう一度,
189,人生,桜だけが自分で光っているみたい,,,観察,春,夕,2026-03-21 16:52,曇,172,35,,あり,2,途中で3〜8秒止まる（にじみ）,
190,学校,最後のチャイム,,,断片,春,夕,2026-03-21 17:11,晴,87,75,,あり,6,最後の一語だけ書き換えて放つ,
191,恋愛,花の名を君だけが知る指がそっと触れたる白いはなびら,,,三十一文字,春,昼,2026-03-23 14:14,晴,132,15,,あり,4,語尾を何度も直す,
192,生活,傘さすほどじゃない、,,,雑な一行,春,夕,2026-03-24 18:08,雨,322,92,,あり,4,語尾を何度も直す,
193,アート,描きかけの絵は、完成した絵より正直,,,ちゃんとした一文,春,夕,2026-03-25 16:30,雨,35,15,,あり,4,語尾を何度も直す,
194,いじめ,あの頃つらかったねって、今なら少しだけ笑って言える。生きててよかった。,,,ちゃんとした一文,春,夜,2026-03-29 4:54,晴,107,35,,あり,2,途中で3〜8秒止まる（にじみ）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
195,世界,花粉ふざけんな,,,雑な一行,春,朝,2026-03-31 9:30,晴,20,75,,あり,1,一気に書いて終わり（迷いなし）,
196,仕事,辞令,,,三十一文字,春,夕,2026-03-31 19:46,晴,237,35,,あり,6,最後の一語だけ書き換えて放つ,
197,人生,四月、また新しい嘘をつく季節、,,,雑な一行,春,夜,2026-04-02 3:46,曇,297,15,,なし,,,
198,生活,なぜか実家に電話したくなる。かけないけど、思うだけで少し楽になる。,,,ちゃんとした一文,春,夜,2026-04-02 23:59,曇,277,55,,あり,2,途中で3〜8秒止まる（にじみ）,
199,家族,母の日、まだ決めてない、,,,断片,春,夜,2026-04-03 0:40,曇,350,75,,あり,2,途中で3〜8秒止まる（にじみ）,
200,人生,二十代、もう折り返し、,,,雑な一行,春,夕,2026-04-04 17:12,曇,100,15,,あり,6,最後の一語だけ書き換えて放つ,
201,心,桜の下を通ると、誰もが少しだけやさしい顔になる。,,,ちゃんとした一文,春,昼,2026-04-10 11:21,晴,355,92,,なし,,,
202,仕事,窓を開けたら春の匂いがひとつ入ってきた。,,,観察,春,朝,2026-04-11 9:20,晴,190,92,,あり,2,途中で3〜8秒止まる（にじみ）,
203,仕事,同期と飲んだ帰り道,,,断片,春,夕,2026-04-11 16:25,曇,120,75,,あり,6,最後の一語だけ書き換えて放つ,
204,世界,春が来た,,,問い,春,夜,2026-04-11 21:45,晴,42,35,,なし,,,
205,趣味,花散らし雨に打たれて描きかけの絵の具流れて別の絵になる,,,三十一文字,春,夕,2026-04-12 17:26,雨,342,55,,あり,5,誤変換を1回直す,
206,家族,母の背が縮んだ気がした夕桜二人で見上げ何も言わずに,,,三十一文字,春,夕,2026-04-13 17:02,晴,225,92,,なし,,,
207,お金,新生活の初任給は、思ったより早く消えた,○,初任給,ちゃんとした一文,春,朝,2026-05-25 07:02,晴,295,15,,なし,,,
208,学校,新しいノート、１ページ目だけ綺麗に書く,,,断片,春,昼,2026-04-14 15:35,晴,270,35,,あり,2,途中で3〜8秒止まる（にじみ）,
209,友達,十年ぶりに会った友達が、全然変わってなくて逆に心配になった,,,ちゃんとした一文,春,昼,2026-04-17 11:35,晴,7,35,,なし,,,
210,仕事,先輩、あの時かばってくれたこと、まだ言えてないままです。,,,誰かへ,春,夕,2026-04-20 17:20,曇,310,55,,あり,3,書いて全部消して、もう一度,
211,心,春はなぜか、去年の自分に少しだけ優しくなれる。,,,ちゃんとした一文,春,昼,2026-04-21 15:42,晴,282,75,,あり,2,途中で3〜8秒止まる（にじみ）,
212,心,咲く前の、あのふくらんだ蕾,,,断片,春,朝,2026-04-22 8:24,晴,0,15,,あり,2,途中で3〜8秒止まる（にじみ）,
213,家族,祖母が縁側で豆をむいている。春の光がその手にある。,,,観察,春,昼,2026-04-22 13:10,曇,80,55,,あり,1,一気に書いて終わり（迷いなし）,
214,人生,新しい年度が始まっても、自分は自分のままで、少しほっとする。,○,自分のまま,ちゃんとした一文,春,朝,2026-04-25 9:08,曇,52,75,,あり,6,最後の一語だけ書き換えて放つ,
215,音楽,朝に聞きたい曲,,,雑な一行,春,朝,2026-04-26 10:33,曇,157,92,,あり,5,誤変換を1回直す,
216,生活,傘なしで駅まで走った、,○,走った,雑な一行,春,夜,2026-04-27 20:03,雨,160,92,,あり,5,誤変換を1回直す,
217,世界,どこかで工事の音、,,,断片,春,昼,2026-04-28 13:04,晴,145,55,,あり,3,書いて全部消して、もう一度,
218,人生,桜が少しずつ色をなくしていく,,,観察,春,昼,2026-04-28 15:20,曇,27,92,,あり,4,語尾を何度も直す,
219,家族,母がわざわざ写真送ってきた。,,,雑な一行,春,昼,2026-04-30 13:37,晴,230,15,,あり,2,途中で3〜8秒止まる（にじみ）,
220,お金,貯金と趣味、どっちも諦めたくなくて、結局どっちも中途半端だ。,,,ちゃんとした一文,春,夕,2026-05-03 16:22,雨,257,92,,あり,1,一気に書いて終わり（迷いなし）,
221,友達,春になると、なんで急に何か始めたくなるんだろうね。,,,問い,春,朝,2026-05-04 8:39,晴,242,55,,なし,,,
222,生活,隣に越してきた人へ。もう少し静かにお願いします。,○,隣の人へ,誰かへ,春,昼,2026-05-04 15:28,曇,197,15,,あり,1,一気に書いて終わり（迷いなし）,
223,仕事,咲かない花なのか花ですらないのか,,,三十一文字,春,夜,2026-05-05 0:49,曇,75,35,,あり,1,一気に書いて終わり（迷いなし）,
224,恋愛,春の夜、あなたと歩いた並木道を、今日ひとりで歩いた。,○,ひとりの並木,ちゃんとした一文,春,夜,2026-05-07 21:19,晴,95,92,,なし,,,
225,家族,父の白髪が増えていた、春の朝、,,,断片,春,朝,2026-05-09 10:02,雨,105,35,,あり,1,一気に書いて終わり（迷いなし）,
226,世界,戦争は政治家が離島でタイマンはれ,,,雑な一行,春,夕,2026-05-09 19:11,曇,185,75,,あり,3,書いて全部消して、もう一度,
227,生活,春の夕暮れの匂い,○,今日を終える,ちゃんとした一文,春,夕,2026-05-11 19:10,晴,205,35,,なし,,,
228,友達,あいつだけ半袖で来た、,,,観察,春,昼,2026-05-12 14:24,曇,217,75,,あり,1,一気に書いて終わり（迷いなし）,
229,心,なんで少しだけ不安になるんだろう。,,,問い,春,夜,2026-05-13 0:19,晴,245,55,,あり,4,語尾を何度も直す,
230,学校,始業のチャイム鳴る前の廊下だけ誰にも属さぬ光あふれて,,,三十一文字,春,昼,2026-05-13 13:38,晴,92,92,,あり,4,語尾を何度も直す,
231,恋愛,元カノのインスタをたまにチェックする、もう自分も別の人と付き合ってるんだけどな,,,問い,春,朝,2026-05-16 5:02,雨,125,92,,あり,4,語尾を何度も直す,
232,仕事,まだ眠っている街を横目に,○,眠る街,観察,春,朝,2026-05-18 7:00,曇,315,75,,あり,2,途中で3〜8秒止まる（にじみ）,
233,いじめ,逃げていいんだよ,,,観察,春,朝,2026-05-18 9:31,曇,210,55,,なし,,,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
234,アート,いいもの、いい作品ってなんだ？,,,断片,春,昼,2026-05-18 13:31,晴,250,75,,あり,3,書いて全部消して、もう一度,
235,お金,ランチ2580円ってなに？,,,ちゃんとした一文,春,昼,2026-05-19 14:39,晴,112,55,,あり,5,誤変換を1回直す,
236,恋愛,傘を忘れたのは、わざとだったのかな。,○,わざと,問い,春,夕,2026-05-21 18:28,雨,140,35,,あり,1,一気に書いて終わり（迷いなし）,
237,学校,春の夜の教室に、まだ誰かいる気配、,,,断片,春,夜,2026-05-21 22:39,晴,212,55,,あり,2,途中で3〜8秒止まる（にじみ）,
238,心,泣いた後の顔みたいに静かだ。,○,泣いた後,ちゃんとした一文,春,夜,2026-05-23 22:36,雨,318,75,,あり,3,書いて全部消して、もう一度,
239,学校,間に合わないから歩いて向かう,,,雑な一行,春,朝,2026-05-24 7:13,曇,327,15,,あり,2,途中で3〜8秒止まる（にじみ）,
240,アート,絵の中の海が少し揺れて見えた。,,,観察,春,夜,2026-05-25 0:17,雨,265,15,,あり,2,途中で3〜8秒止まる（にじみ）,
241,恋愛,手つないだ、それで十分だった、,,,雑な一行,春,夕,2026-05-26 19:27,晴,67,15,,なし,,,
242,恋愛,既読、つかない,,,雑な一行,春,朝,2026-05-27 6:18,曇,137,35,,あり,3,書いて全部消して、もう一度,
243,心,春の朝はなびら一片手のひらに乗せて名前をそっと呼びたる,,,三十一文字,春,朝,2026-05-28 7:07,晴,347,75,,あり,4,語尾を何度も直す,
244,生活,昔ここに住んでた人へ。庭の椿、今年も咲いてますよ。,,,誰かへ,春,朝,2026-05-29 5:55,曇,262,15,,あり,5,誤変換を1回直す,
245,アート,雨の日の美術館,,,問い,春,朝,2026-05-29 9:53,雨,72,35,,なし,,,
246,友達,電話くれる友達がいるって、それだけで生きていける。みんなも誰かに電話かけてみて、,,,ちゃんとした一文,春,夜,2026-05-31 0:59,雨,330,15,,あり,1,一気に書いて終わり（迷いなし）,
247,心,はるのよるこころのおくにしまいこむだれにもいえぬちいさなひかり,,,三十一文字,春,夕,2026-05-31 17:51,晴,2,15,,あり,2,途中で3〜8秒止まる（にじみ）,
248,アート,大げさに思いっきり,○,大げさな夕日,問い,夏,夕,2026-06-01 18:06,晴,13,35,,なし,,,
249,生活,フルボリューム,,,断片,夏,朝,2026-06-02 7:08,晴,233,15,,あり,5,誤変換を1回直す,
250,恋愛,夜風にあたるあなたの横顔を、たぶん一生忘れない。,○,横顔,観察,夏,夜,2026-06-04 0:36,曇,138,15,,あり,1,一気に書いて終わり（迷いなし）,
251,仕事,コーヒーだけが味方,,,観察,夏,朝,2026-06-04 5:48,曇,63,92,,あり,3,書いて全部消して、もう一度,
252,学校,青春って青いのかな自分には黄色に感じるな,,,ちゃんとした一文,夏,夕,2026-06-04 17:06,晴,195,92,,あり,3,書いて全部消して、もう一度,
253,恋愛,曇った昼、あなたの傘の色をまだ覚えている。,○,傘の色,観察,夏,昼,2026-06-05 12:12,曇,240,35,,あり,5,誤変換を1回直す,
254,心,雨、止まない,,,断片,夏,昼,2026-06-06 15:57,雨,123,75,,あり,3,書いて全部消して、もう一度,
255,心,言葉にならないけど、感情でもないんだよな、わかってよ,,,断片,夏,夕,2026-06-06 18:01,曇,110,35,,あり,2,途中で3〜8秒止まる（にじみ）,
256,世界,飛行機の点滅がゆっくり動いていく。,,,断片,夏,夜,2026-06-07 3:51,晴,308,35,,なし,,,
257,世界,街の明かりが揺れていて,,,三十一文字,夏,夕,2026-06-07 18:45,晴,300,15,,あり,1,一気に書いて終わり（迷いなし）,
258,お金,コンビニのATM手数料、地味に効くな,,,観察,夏,夜,2026-06-07 20:43,雨,53,55,,なし,,,
259,生活,夏の夜の雨,,,ちゃんとした一文,夏,夜,2026-06-07 22:56,雨,276,35,,あり,5,誤変換を1回直す,
260,人生,永遠に僕らは大人になれずに,,,雑な一行,夏,朝,2026-06-09 7:36,曇,358,92,,なし,,,
261,仕事,この仕事、誰のためにやってるんだっけ？,,,問い,夏,夕,2026-06-09 16:26,曇,45,35,,なし,,,
262,音楽,イヤホン片方だけ、,,,断片,夏,夕,2026-06-11 18:45,晴,130,92,,あり,2,途中で3〜8秒止まる（にじみ）,
263,心,考えが大渋滞してる,,,断片,夏,夜,2026-06-11 20:05,曇,150,55,,あり,6,最後の一語だけ書き換えて放つ,
264,アート,才能とか、もういいや,○,才能,雑な一行,夏,夜,2026-06-12 1:03,曇,191,75,,なし,,,
265,人生,まだ答えが出ない、,,,断片,夏,夜,2026-06-12 23:25,雨,328,92,,あり,1,一気に書いて終わり（迷いなし）,
266,仕事,頑張るって、いつまで頑張ればゴールなんだろう？,,,問い,夏,夜,2026-06-13 0:14,晴,255,75,,なし,,,
267,恋愛,一瞬をずっと,,,観察,夏,夕,2026-06-13 17:40,晴,215,55,,あり,4,語尾を何度も直す,
268,恋愛,下の名前を呼ぶのが恥ずかしい,○,名前も言えず,誰かへ,夏,夜,2026-06-13 20:12,晴,288,75,,あり,1,一気に書いて終わり（迷いなし）,
269,アート,埃まできれいに見えてきた,○,埃まで,観察,夏,朝,2026-06-20 6:47,晴,220,75,,あり,2,途中で3〜8秒止まる（にじみ）,
270,友達,一緒に馬鹿やった友達がスーツ着て歩いてる,○,元気でな,誰かへ,夏,昼,2026-06-20 13:22,晴,345,55,,あり,5,誤変換を1回直す,
271,人生,遠くの花火の音だけが聞こえてくる,○,誰かの夏,観察,夏,夜,2026-06-22 2:06,晴,118,55,,あり,6,最後の一語だけ書き換えて放つ,
272,家族,父,,,雑な一行,夏,夜,2026-06-24 22:52,雨,170,15,,あり,1,一気に書いて終わり（迷いなし）,
273,家族,洗濯物,,,雑な一行,夏,夕,2026-06-29 19:17,雨,333,15,,なし,,,
274,いじめ,助けてなんて言わないよ、ただ来ないで,,,雑な一行,夏,夜,2026-07-02 4:49,雨,340,35,,あり,2,途中で3〜8秒止まる（にじみ）,渦中ではなく「後から」の側で書く（抜けた後／時間が経った後／見ていた側／何もできなかった側）
275,人生,実家どうするか,,,観察,夏,夕,2026-07-02 18:38,雨,268,15,,あり,4,語尾を何度も直す,
276,生活,窓、ぼんやり、,,,断片,夏,夜,2026-07-03 0:02,雨,65,92,,あり,3,書いて全部消して、もう一度,
277,音楽,路上ライブの声が風に乗ってきた。,,,観察,夏,昼,2026-07-03 12:35,曇,90,75,,あり,2,途中で3〜8秒止まる（にじみ）,
278,家族,母がヒステリックになるは、誰のせいでもない、思春期と一緒,,,三十一文字,夏,朝,2026-07-04 6:55,雨,50,55,,あり,2,途中で3〜8秒止まる（にじみ）,
279,アート,アート思考だの、デザイン工学だの飽きた,,,雑な一行,夏,昼,2026-07-04 12:34,晴,5,15,,あり,1,一気に書いて終わり（迷いなし）,
280,心,なんか元気、なんでだろ、,,,雑な一行,夏,夜,2026-07-05 23:05,晴,1,92,,なし,,,
281,仕事,まだ誰も来ていないオフィスの静けさが好きだ。,,,観察,夏,朝,2026-07-08 10:51,晴,135,15,,なし,,,
282,仕事,昼飯抜きかよ,,,雑な一行,夏,昼,2026-07-08 14:54,晴,293,92,,なし,,,
283,家族,夕方の台所から、母の包丁の音、,,,断片,夏,夕,2026-07-10 16:57,曇,320,75,,あり,5,誤変換を1回直す,
284,生活,髪が決まらない,,,雑な一行,夏,朝,2026-07-11 5:54,雨,30,92,,あり,5,誤変換を1回直す,
285,友達,元気かな、みんな、急にLINEするのも躊躇う,,,雑な一行,夏,朝,2026-07-13 9:16,雨,305,35,,あり,2,途中で3〜8秒止まる（にじみ）,
286,友達,小さい頃の友達のなり方って素敵,,,雑な一行,夏,夕,2026-07-13 19:48,晴,163,92,,なし,,,
287,学校,支配,,,ちゃんとした一文,夏,昼,2026-07-14 14:47,雨,70,15,,あり,2,途中で3〜8秒止まる（にじみ）,
288,恋愛,恋と愛,,,問い,夏,夕,2026-07-18 17:14,曇,248,55,,あり,6,最後の一語だけ書き換えて放つ,
289,お金,ドラックストアまで歩くのめんどくさいから,,,雑な一行,夏,朝,2026-07-19 9:07,晴,83,55,,あり,1,一気に書いて終わり（迷いなし）,
290,音楽,歌うのは好き、カラオケが苦手,,,誰かへ,夏,昼,2026-07-19 11:54,雨,325,92,,あり,1,一気に書いて終わり（迷いなし）,
291,趣味,趣味の時間だけは自分がまっすぐになれる。,,,ちゃんとした一文,夏,夜,2026-07-20 23:10,曇,203,15,,なし,,,
292,学校,宿題やってない,,,雑な一行,夏,朝,2026-07-21 6:37,晴,200,15,,あり,5,誤変換を1回直す,
293,お金,予定崩れて出費増、,,,雑な一行,夏,夕,2026-07-21 18:29,雨,235,15,,あり,4,語尾を何度も直す,
294,趣味,夏の朝の散歩,,,雑な一行,夏,朝,2026-07-22 10:46,晴,10,35,,あり,5,誤変換を1回直す,
295,恋愛,隣にいるのに遠い,,,雑な一行,夏,昼,2026-07-22 12:24,曇,260,92,,あり,1,一気に書いて終わり（迷いなし）,
296,音楽,曇りの朝に流す一曲,,,雑な一行,夏,朝,2026-07-23 5:41,曇,148,55,,あり,2,途中で3〜8秒止まる（にじみ）,
297,世界,大学教授をタレント化すんな,,,雑な一行,夏,朝,2026-07-24 10:00,雨,188,75,,あり,1,一気に書いて終わり（迷いなし）,
298,友達,既読スルーより、未読スルーの方がきつい,,,雑な一行,夏,夜,2026-07-25 3:33,曇,223,75,,あり,6,最後の一語だけ書き換えて放つ,
299,人生,働きアリに花束を,,,雑な一行,夏,昼,2026-07-26 14:09,晴,155,75,,あり,4,語尾を何度も直す,
300,家族,仲良くしてみるか,,,雑な一行,夏,朝,2026-07-28 6:28,晴,338,35,,あり,2,途中で3〜8秒止まる（にじみ）,
